Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],Region 
"Bahamas, The",BHS,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,15565.27351,CARIBBEAN
"Bahamas, The",BHS,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,132.1042427,CARIBBEAN
Bahrain,BHR,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,43360.47297,WESTERN ASIA
Bahrain,BHR,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,71.97126064,WESTERN ASIA
Bahrain,BHR,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,18626.26632,WESTERN ASIA
Bahrain,BHR,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,70.80227844,WESTERN ASIA
Bangladesh,BGD,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,2800.366754,ASIA AND THE PACIFIC
Bangladesh,BGD,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,40.25032846,ASIA AND THE PACIFIC
Bangladesh,BGD,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,2138.051545,ASIA AND THE PACIFIC
Bangladesh,BGD,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,38.33606931,ASIA AND THE PACIFIC
Barbados,BRB,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,15353.63526,CARIBBEAN
Barbados,BRB,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,130.0353391,CARIBBEAN
Barbados,BRB,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,12326.22037,CARIBBEAN
Barbados,BRB,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,139.4552308,CARIBBEAN
Belarus,BLR,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,16603.09058,COMMONWEALTH OF INDEPENDENT STATES
Belarus,BLR,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,43.4601626,COMMONWEALTH OF INDEPENDENT STATES
Belarus,BLR,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,11576.16729,COMMONWEALTH OF INDEPENDENT STATES
Belarus,BLR,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,34.17614207,COMMONWEALTH OF INDEPENDENT STATES
Belgium,BEL,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,40092.72106,Eurostat-OECD
Belgium,BEL,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,150.3932743,Eurostat-OECD
Belgium,BEL,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,26250.35906,Eurostat-OECD
Belgium,BEL,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,151.7603684,Eurostat-OECD
Belize,BLZ,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,8212.198695,CARIBBEAN
Belize,BLZ,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,74.13481664,CARIBBEAN
Belize,BLZ,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,6491.8469,CARIBBEAN
Belize,BLZ,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,68.8737153,CARIBBEAN
Benin,BEN,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,1766.070272,AFRICA
Benin,BEN,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,58.4917345,AFRICA
Benin,BEN,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,1473.073685,AFRICA
Benin,BEN,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,54.76509424,AFRICA
Bermuda,BMU,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,54898.65482,CARIBBEAN
Bermuda,BMU,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,201.6284774,CARIBBEAN
Bermuda,BMU,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,37924.195,CARIBBEAN
Bermuda,BMU,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,220.6964744,CARIBBEAN
Bhutan,BTN,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,7199.310978,ASIA AND THE PACIFIC
Bhutan,BTN,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,46.57313513,ASIA AND THE PACIFIC
Bhutan,BTN,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,3997.962241,ASIA AND THE PACIFIC
Bhutan,BTN,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,41.86637819,ASIA AND THE PACIFIC
Bolivia,BOL,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,5557.023706,LATIN AMERICA
Bolivia,BOL,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,54.76612585,LATIN AMERICA
Bolivia,BOL,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,3660.565607,LATIN AMERICA
